Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
ABELI,Abelia,abelia,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR4,Abelia ×grandiflora,glossy abelia,Spring and Summer,Rapid,6,6,Moderate,None,Semi-Erect,None,Medium,Medium,5.7,7,1200,1700,28,60,12,Low,Tolerant,-13,Late Summer,Summer,Fall,No,No,Low
ABELM,Abelmoschus,okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABES,Abelmoschus esculentus,okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA9,Abelmoschus manihot,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO,Abelmoschus moschatus,musk okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES,Abies,fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL3,Abies alba,silver fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,Abies amabilis,Pacific silver fir,Spring and Summer,Slow,20,165,Long,None,Erect,None,Low,Medium,3.3,6,300,700,38,260,36,None,Tolerant,-28,Late Spring,Summer,Fall,No,No,
ABBA,Abies balsamea,balsam fir,Spring and Summer,Slow,18,60,Short,None,Conical,None,Low,Medium,4,6,300,1200,13,60,20,None,Tolerant,-43,Mid Summer,Fall,Fall,No,No,Low
ABBAB,Abies balsamea var. balsamea,balsam fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAP,Abies balsamea var. phanerolepis,balsam fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,Abies bracteata,bristlecone fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO,Abies concolor,white fir,Spring and Summer,Slow,20,120,Long,None,Conical,None,Medium,Medium,5.5,7.8,300,1200,18,80,40,None,Intermediate,-38,Late Spring,Summer,Fall,No,No,Low
ABFI,Abies firma,Momi fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR,Abies fraseri,Fraser fir,Spring and Summer,Moderate,20,55,Moderate,None,Erect,Low,Low,Medium,3.5,5.5,435,1200,45,100,6,Low,Tolerant,-23,Mid Spring,Spring,Fall,No,No,Low
ABGR,Abies grandis,grand fir,Spring and Summer,Moderate,25,150,Long,None,Conical,Low,Medium,Medium,4.5,7.5,300,1200,11,100,20,None,Tolerant,-33,Late Spring,Summer,Fall,No,No,Low
ABGU,Abies guatemalensis,Guatemalan fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHO,Abies homolepis,Nikko fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA,Abies lasiocarpa,subalpine fir,Spring and Summer,Slow,15,90,Long,None,Conical,None,Low,Medium,4,6.5,300,1200,20,150,40,None,Tolerant,-51,Late Spring,Summer,Fall,No,No,Low
ABLAA,Abies lasiocarpa var. arizonica,corkbark fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLAL,Abies lasiocarpa var. lasiocarpa,subalpine fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLO,Abies lowiana,Sierra white fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA,Abies magnifica,California red fir,Spring and Summer,Slow,35,150,Long,None,Erect,None,Low,Medium,5,6.1,430,1200,33,64,20,Low,Tolerant,-23,Late Spring,Summer,Fall,No,No,Low
ABMAM,Abies magnifica var. magnifica,California red fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMAS,Abies magnifica var. shastensis,Shasta red fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR,Abies procera,noble fir,Spring and Summer,Rapid,25,230,Long,None,Erect,None,Low,Low,6,7.5,430,1200,64,120,20,None,Intermediate,-23,Late Spring,Spring,Fall,No,No,Low
ABVE2,Abies veitchii,Christmastree,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIET,Abietinella,abietenella moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB70,Abietinella abietina,abietinella moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILD,Abildgaardia,sedge,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOV,Abildgaardia ovata,flatspike sedge,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRON,Abronia,sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL,Abronia alpina,Ramshaw Meadows sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM2,Abronia ameliae,Amelia's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM3,Abronia ammophila,Wyoming sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,Abronia angustifolia,purple sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAR,Abronia argillosa,clay sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBI,Abronia bigelovii,Galisteo sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,Abronia bolackii,Bolack's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA,Abronia carletonii,Carleton's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEL,Abronia elliptica,fragrant white sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR2,Abronia fragrans,snowball sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR2,Abronia gracilis,slender sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN2,Abronia insularis,island sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA2,Abronia latifolia,coastal sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA5,Abronia macrocarpa,largefruit sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA2,Abronia maritima,red sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME,Abronia mellifera,white sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMI2,Abronia minor,little sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNA,Abronia nana,dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAC,Abronia nana var. covillei,Coville's dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAH,Abronia nana var. harrisii,Harris' dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAN,Abronia nana var. nana,dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNE,Abronia neurophylla,beach sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPO,Abronia pogonantha,Mojave sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTU,Abronia turbinata,transmontane sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUM,Abronia umbellata,pink sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMB,Abronia umbellata ssp. breviflora,pink sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMU,Abronia umbellata ssp. umbellata,pink sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVI,Abronia villosa,desert sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIA,Abronia villosa var. aurita,desert sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIV,Abronia villosa var. villosa,desert sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABROT,Abrothallus,abrothallus lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE2,Abrothallus bertianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR3,Abrothallus bryoriarum,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCE,Abrothallus cetrariae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCL,Abrothallus cladoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA5,Abrothallus parmeliarum,parmelia abrothallus lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE2,Abrothallus peyritschii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR5,Abrothallus prodiens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWE,Abrothallus welwitschii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRUS,Abrus,abrus,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR3,Abrus precatorius,rosarypea,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSCO,Absconditella,absconditella lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,Absconditella sphagnorum,sphagnum absonditella lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR3,Absconditella trivialis,trivial absconditella lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUTI,Abutilon,Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB,Abutilon abutiloides,shrubby Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAU,Abutilon auritum,Asian Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE,Abutilon berlandieri,Berlandier's Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABER,Abutilon eremitopetalum,hiddenpetal Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR3,Abutilon fruticosum,Texas Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGL,Abutilon glabriflorum,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR3,Abutilon grandifolium,hairy Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHI,Abutilon hirtum,Florida Keys Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHU,Abutilon hulseanum,mauve,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHY,Abutilon hypoleucum,whiteleaf Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN,Abutilon incanum,pelotazo,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN3,Abutilon indicum,monkeybush,,,,,,,,,,,,,,,,,,,,,,,,,,
ABINA,Abutilon indicum ssp. albescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA3,Abutilon malacum,yellow Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA8,Abutilon mauritianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME3,Abutilon megapotamicum,trailing abutilon,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME2,Abutilon menziesii,ko'oloa 'ula,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO2,Abutilon mollicomum,Sonoran Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA,Abutilon palmeri,Palmer's Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA2,Abutilon parishii,Parish's Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA3,Abutilon parvulum,dwarf Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE,Abutilon permolle,coastal Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRE,Abutilon reventum,yellowflower Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSA2,Abutilon sandwicense,greenflower Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH,Abutilon theophrasti,velvetleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH2,Abutilon thurberi,Thurber's Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR,Abutilon trisulcatum,anglestem Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWR,Abutilon wrightii,Wright's Indian mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACI,Acacia,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAB2,Acacia abyssinica,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACABC2,Acacia abyssinica ssp. calophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC7,Acacia acinacea,gold-dust acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC8,Acacia aciphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC9,Acacia aculeatissima,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC10,Acacia acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD,Acacia adunca,Wallangarra wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL16,Acacia alata,winged wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM9,Acacia ampliceps,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN4,Acacia anegadensis,blackbrush wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN10,Acacia aneura,mulga,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN,Acacia angustissima,prairie acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANC,Acacia angustissima var. chisosiana,Chisos prairie acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANH,Acacia angustissima var. hirta,prairie acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANL,Acacia angustissima var. leucothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS,Acacia angustissima var. shrevei,Shreve's prairie acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS2,Acacia angustissima var. suffrutescens,prairie acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR12,Acacia arenaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAU,Acacia auriculiformis,earleaf acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBA,Acacia baileyana,cootamundra wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE6,Acacia beckleri,Barrier Range wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE,Acacia berlandieri,guajillo,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBI5,Acacia binervata,two-vein-hickory,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBO4,Acacia boomanii,Snowy River wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBR3,Acacia brachybotrya,gray mulga,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBU3,Acacia buxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA23,Acacia caesiella,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA24,Acacia calamifolia,broom wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA25,Acacia cambagei,gidgee,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA27,Acacia cardiophylla,wyalong wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA21,Acacia catechu,black cutch,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA35,Acacia caven,Roman-cassie,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH8,Acacia chinchillensis,Chinchilla wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH,Acacia choriophylla,cinnecord,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI6,Acacia cibaria,turpentine mulga,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO15,Acacia cognata,bower wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO16,Acacia colletioides,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO24,Acacia collinsii,bull horn acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO,Acacia confusa,small Philippine acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO17,Acacia conspersa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO2,Acacia constricta,whitethorn acacia,Spring and Summer,Slow,6,9,Moderate,Low,Erect,None,High,Low,7,8.5,300,700,4,20,12,Medium,Intolerant,-13,Late Spring,Summer,Fall,No,Yes,Medium
ACCOC,Acacia constricta var. constricta,whitethorn acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOP9,Acacia constricta var. paucispina,whitethorn acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO18,Acacia continua,thorn wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO5,Acacia cornigera,bullhorn wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCR2,Acacia craspedocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCU4,Acacia cultriformis,knife acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCU5,Acacia cupularis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCY2,Acacia cyclops,coastal wattle,Spring and Summer,Rapid,12,12,Short,Medium,Semi-Erect,None,High,Medium,6,8.3,700,1200,16,40,18,Medium,Intolerant,14,Mid Spring,Summer,Fall,No,No,Low
ACDA5,Acacia davyi,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE3,Acacia dealbata,silver wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE11,Acacia deanei,Deane's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDEP2,Acacia deanei ssp. paucijuga,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE12,Acacia decora,graceful wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE,Acacia decurrens,green wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI7,Acacia dietrichiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI8,Acacia difformis,drooping wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDO2,Acacia doratoxylon,spearwood,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDR2,Acacia drummondii,Drummond's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDU3,Acacia dunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEB2,Acacia eburnea,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEL,Acacia elata,cedar wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEM,Acacia ×emoryana,Emory's acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER4,Acacia erioloba,camelthorn,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER5,Acacia erubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACES2,Acacia estrophiolata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEX3,Acacia extensa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFA,Acacia farnesiana,sweet acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFI4,Acacia fimbriata,fringed wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFL6,Acacia floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGA3,Acacia galpinii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGE8,Acacia genistifolia,early wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGE7,Acacia gerrardii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL5,Acacia gladiiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL6,Acacia glandulicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL4,Acacia glauca,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGO2,Acacia goetzei,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR9,Acacia gracilifolia,graceful wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR,Acacia greggii,catclaw acacia,Spring and Summer,Slow,15,20,Long,None,Erect,None,High,Low,6.5,8.5,300,700,3,20,12,None,Intolerant,-13,Mid Spring,Summer,Fall,No,Yes,Medium
ACGRG3,Acacia greggii var. greggii,catclaw acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGRW,Acacia greggii var. wrightii,catclaw acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHA4,Acacia hakeoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE8,Acacia hebeclada,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE12,Acacia hemiteles,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO2,Acacia holosericea,candelabra wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO4,Acacia horrida,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO5,Acacia howittii,sticky wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM4,Acacia imbricata,imbricate wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM5,Acacia implexa,screw-pod wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIR,Acacia irrorata,green wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIT2,Acacia iteaphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIX2,Acacia ixiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJI,Acacia jibberdingensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJO2,Acacia jonesii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKA2,Acacia karroo,karroothorn,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKO,Acacia koa,koa,Year Round,Moderate,100,110,Long,High,Erect,None,Medium,Medium,5,7,300,700,50,200,30,None,Intolerant,31,Spring,Spring,Summer,No,No,
ACKO2,Acacia koaia,koaoha,Year Round,Rapid,60,40,Long,High,Rounded,None,Low,,4,7.4,320,640,33,200,36,None,Intolerant,25,Early Spring,Year Round,Year Round,Yes,Yes,
ACLA10,Acacia lanuginophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLA6,Acacia lasiocalyx,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE7,Acacia leiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLI8,Acacia ligulata,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLI5,Acacia lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLO,Acacia longifolia,Sydney golden wattle,Spring and Summer,Rapid,20,20,Short,Medium,Semi-Erect,None,High,Medium,6,8.3,700,1200,16,40,24,Low,Intolerant,14,Summer,Summer,Fall,No,No,Low
ACLOS3,Acacia longifolia ssp. sophorae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLO8,Acacia longissima,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA,Acacia macracantha,porknut,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA11,Acacia maidenii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA12,Acacia mangium,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME80,Acacia mearnsii,black wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME,Acacia melanoxylon,blackwood,Spring and Summer,Rapid,40,40,Short,Medium,Erect,None,High,Medium,6,8.3,300,1200,16,40,28,Low,Intolerant,14,Early Spring,Summer,Fall,No,No,Low
ACME8,Acacia mellifera,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMED,Acacia mellifera ssp. detinens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME6,Acacia merrallii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI5,Acacia microbotrya,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI6,Acacia microcarpa,manna wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI,Acacia millefolia,milfoil wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO9,Acacia montana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU6,Acacia mucronata,narrow-leaf wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU7,Acacia multispicata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU,Acacia muricata,spineless wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMY2,Acacia myrtifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE4,Acacia neovernicosa,viscid acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE8,Acacia neriifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI8,Acacia nigrescens,knobthorn,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI2,Acacia nilotica,gum arabic tree,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNIA3,Acacia nilotica ssp. adstringens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNIK2,Acacia nilotica ssp. kraussiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNO5,Acacia notabilis,notable wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOM,Acacia omalophylla,yarran,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOS2,Acacia oswaldii,umbrella acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX3,Acacia oxycedrus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA15,Acacia pachyceras,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPAN,Acacia pachyceras var. najdensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA16,Acacia papyrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA8,Acacia paradoxa,paradox acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA81,Acacia parramattensis,South Wales wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA9,Acacia parvipinnula,silver-stem wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE8,Acacia pendula,myall acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE9,Acacia pennatula,fern-leaf acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE10,Acacia penninervis,blackwood,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE11,Acacia pentagona,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPI,Acacia pinetorum,pineland wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO2,Acacia podalyriifolia,pearl wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO3,Acacia polyacantha,catechu tree,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPOC2,Acacia polyacantha ssp. campylacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR6,Acacia pravissima,wedge-leaf wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR3,Acacia prominens,goldenrain wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR4,Acacia pruinosa,frosty wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPU3,Acacia pulchella,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPY3,Acacia pycnantha,golden wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPY4,Acacia pyrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACQU2,Acacia quornensis,quorn wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRA5,Acacia ramulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE9,Acacia redolens,bank catclaw,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE8,Acacia rehmanniana,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE2,Acacia retinodes,water wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE4,Acacia retusa,catch and keep,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRI10,Acacia richii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRI6,Acacia rigens,nealie,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRI,Acacia rigidula,blackbrush acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRI7,Acacia rivalis,creek wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
